Date,Victory,Player,Match,Opponent,Game-Loss
04/11/2023-140000,0,<@723638398312513586>,0,<@689986226929139764>,2
04/11/2023-140000,0,<@566387736609685514>,1,<@690644525177110561>,0
04/11/2023-140000,0,<@566387736609685514>,1,<@689986226929139764>,0
04/11/2023-140000,0,<@566387736609685514>,0,<@693492171591909427>,2
04/11/2023-140000,0,<@225045824923500546>,0,<@690644525177110561>,2
04/11/2023-140000,0,<@225045824923500546>,0,<@693492171591909427>,2
04/11/2023-140000,0,<@225045824923500546>,0,<@689986226929139764>,2
11/11/2023-140000,1,<@723638398312513586>,1,<@693492171591909427>,1
11/11/2023-140000,1,<@723638398312513586>,1,<@566387736609685514>,0
11/11/2023-140000,1,<@723638398312513586>,0,<@689986226929139764>,2
11/11/2023-140000,1,<@690644525177110561>,1,<@566387736609685514>,0
11/11/2023-140000,1,<@690644525177110561>,0,<@689986226929139764>,2
11/11/2023-140000,1,<@690644525177110561>,0,<@693492171591909427>,2
11/11/2023-140000,1,<@225045824923500546>,1,<@566387736609685514>,1
11/11/2023-140000,1,<@225045824923500546>,1,<@693492171591909427>,1
11/11/2023-140000,1,<@225045824923500546>,1,<@689986226929139764>,0
11/11/2023-140000,0,<@693492171591909427>,1,<@690644525177110561>,0
11/11/2023-140000,0,<@693492171591909427>,0,<@225045824923500546>,2
11/11/2023-140000,0,<@693492171591909427>,0,<@723638398312513586>,2
11/11/2023-140000,0,<@689986226929139764>,1,<@690644525177110561>,1
11/11/2023-140000,0,<@689986226929139764>,1,<@723638398312513586>,0
11/11/2023-140000,0,<@689986226929139764>,0,<@225045824923500546>,2
11/11/2023-140000,0,<@566387736609685514>,0,<@225045824923500546>,2
11/11/2023-140000,0,<@566387736609685514>,0,<@690644525177110561>,2
11/11/2023-140000,0,<@566387736609685514>,0,<@723638398312513586>,2
